strain	accession	date	region	country	division	db	authors
G00032	G00032	2007-07-30	south_asia	nepal	nepal	genbank	Gagneux
G00060	G00060	2012-10-19	south_asia	nepal	nepal	genbank	Gagneux
G00121	G00121	2013-03-27	north_america	usa	usa	genbank	Gagneux
G00122	G00122	2003-02-15	europe	united_kingdom	united_kingdom	genbank	Gagneux
G00130	G00130	2000-01-28	africa	uganda	uganda	genbank	Gagneux
G00132	G00132	2005-02-05	africa	uganda	uganda	genbank	Gagneux
G00135	G00135	2011-10-15	north_america	canada	canada	genbank	Gagneux
G00136	G00136	2009-09-18	north_america	canada	canada	genbank	Gagneux
G00137	G00137	2011-09-06	west_asia	russia	russia	genbank	Gagneux
G00138	G00138	2006-12-20	west_asia	russia	russia	genbank	Gagneux
G00139	G00139	2010-01-20	west_asia	russia	russia	genbank	Gagneux
G00140	G00140	2001-12-29	north_america	usa	usa	genbank	Gagneux
G00141	G00141	2013-02-28	africa	sierra_leone	sierra_leone	genbank	Gagneux
G00142	G00142	2006-04-21	africa	sierra_leone	sierra_leone	genbank	Gagneux
G00143	G00143	2011-01-03	africa	sierra_leone	sierra_leone	genbank	Gagneux
G00144	G00144	2002-12-03	europe	germany	germany	genbank	Gagneux
G00145	G00145	2009-03-18	north_america	usa	usa	genbank	Gagneux
G00146	G00146	2008-03-14	north_america	usa	usa	genbank	Gagneux
G00147	G00147	2013-08-10	north_america	usa	usa	genbank	Gagneux
G00148	G00148	2006-01-29	africa	gambia	gambia	genbank	Gagneux
G00149	G00149	2002-04-19	africa	gambia	gambia	genbank	Gagneux
G00151	G00151	2002-06-03	north_america	usa	usa	genbank	Gagneux
G00152	G00152	2002-09-14	africa	uganda	uganda	genbank	Gagneux
G00153	G00153	2011-04-11	north_america	usa	usa	genbank	Gagneux
G00154	G00154	2016-03-24	north_america	usa	usa	genbank	Gagneux
G00155	G00155	2001-04-11	north_america	usa	usa	genbank	Gagneux
G00156	G00156	2015-06-18	north_america	usa	usa	genbank	Gagneux
G00158	G00158	2016-04-10	north_america	usa	usa	genbank	Gagneux
G00159	G00159	2010-06-10	north_america	usa	usa	genbank	Gagneux
G00160	G00160	2006-07-17	north_america	usa	usa	genbank	Gagneux
G00161	G00161	2010-10-04	north_america	usa	usa	genbank	Gagneux
G00162	G00162	2012-04-13	north_america	usa	usa	genbank	Gagneux
G00163	G00163	2011-11-14	north_america	usa	usa	genbank	Gagneux
G00164	G00164	2011-09-07	north_america	usa	usa	genbank	Gagneux
G00165	G00165	2014-01-20	north_america	usa	usa	genbank	Gagneux
G00178	G00178	2009-08-06	north_america	usa	usa	genbank	Gagneux
G00179	G00179	2009-06-04	north_america	usa	usa	genbank	Gagneux
G00180	G00180	2011-06-21	north_america	usa	usa	genbank	Gagneux
G00181	G00181	2012-06-09	north_america	usa	usa	genbank	Gagneux
G00182	G00182	2016-08-13	europe	germany	germany	genbank	Gagneux
G00183	G00183	2015-01-23	europe	germany	germany	genbank	Gagneux
G00185	G00185	2011-02-11	europe	germany	germany	genbank	Gagneux
G00187	G00187	2012-12-12	europe	germany	germany	genbank	Gagneux
G00188	G00188	2000-11-09	europe	germany	germany	genbank	Gagneux
G00189	G00189	2011-08-24	europe	germany	germany	genbank	Gagneux
G00190	G00190	2008-02-20	europe	germany	germany	genbank	Gagneux
G00191	G00191	2011-09-07	europe	germany	germany	genbank	Gagneux
G00192	G00192	2001-09-20	europe	germany	germany	genbank	Gagneux
G00193	G00193	2002-07-13	europe	germany	germany	genbank	Gagneux
G00194	G00194	2015-10-01	europe	germany	germany	genbank	Gagneux
G00195	G00195	2000-06-16	europe	germany	germany	genbank	Gagneux
G00196	G00196	2001-12-23	europe	germany	germany	genbank	Gagneux
G00197	G00197	2011-11-03	europe	germany	germany	genbank	Gagneux
G00198	G00198	2000-03-01	europe	germany	germany	genbank	Gagneux
G00200	G00200	2002-01-01	europe	germany	germany	genbank	Gagneux
G00201	G00201	2003-04-07	europe	germany	germany	genbank	Gagneux
G00203	G00203	2013-11-09	africa	uganda	uganda	genbank	Gagneux
G00205	G00205	2000-03-09	africa	ethiopia	ethiopia	genbank	Gagneux
G00212	G00212	2001-02-28	africa	ethiopia	ethiopia	genbank	Gagneux
G00217	G00217	2012-10-10	africa	ethiopia	ethiopia	genbank	Gagneux
G00220	G00220	2004-05-08	africa	ethiopia	ethiopia	genbank	Gagneux
G00223	G00223	2000-05-02	africa	ethiopia	ethiopia	genbank	Gagneux
G00230	G00230	2000-02-28	africa	ethiopia	ethiopia	genbank	Gagneux
G00232	G00232	2013-05-18	africa	ethiopia	ethiopia	genbank	Gagneux
G00233	G00233	2011-06-29	africa	ethiopia	ethiopia	genbank	Gagneux
G00240	G00240	2000-12-24	africa	ethiopia	ethiopia	genbank	Gagneux
G00246	G00246	2009-09-20	africa	ethiopia	ethiopia	genbank	Gagneux
G00249	G00249	2002-03-27	north_america	usa	usa	genbank	Gagneux
G00250	G00250	2006-08-24	north_america	usa	usa	genbank	Gagneux
G00251	G00251	2016-01-24	north_america	usa	usa	genbank	Gagneux
G00252	G00252	2016-11-09	north_america	usa	usa	genbank	Gagneux
G00253	G00253	2003-10-17	north_america	usa	usa	genbank	Gagneux
G00254	G00254	2000-11-29	north_america	usa	usa	genbank	Gagneux
G00255	G00255	2009-01-19	north_america	usa	usa	genbank	Gagneux
G00256	G00256	2002-08-29	north_america	usa	usa	genbank	Gagneux
G00257	G00257	2002-06-08	north_america	usa	usa	genbank	Gagneux
G00258	G00258	2007-09-28	north_america	usa	usa	genbank	Gagneux
G00259	G00259	2008-03-12	africa	gambia	gambia	genbank	Gagneux
G00261	G00261	2008-12-22	europe	netherlands	netherlands	genbank	Gagneux
G00262	G00262	2009-09-10	north_america	usa	usa	genbank	Gagneux
G00263	G00263	2007-11-03	north_america	usa	usa	genbank	Gagneux
G00264	G00264	2015-07-30	north_america	usa	usa	genbank	Gagneux
G00265	G00265	2008-03-14	europe	united_kingdom	united_kingdom	genbank	Gagneux
G00266	G00266	2015-08-22	europe	united_kingdom	united_kingdom	genbank	Gagneux
G00267	G00267	2007-07-11	europe	united_kingdom	united_kingdom	genbank	Gagneux
G00268	G00268	2014-07-20	south_asia	nepal	nepal	genbank	Gagneux
G00269	G00269	2016-07-17	south_asia	nepal	nepal	genbank	Gagneux
G00270	G00270	2004-05-04	south_asia	nepal	nepal	genbank	Gagneux
G00271	G00271	2002-06-12	south_asia	nepal	nepal	genbank	Gagneux
G00272	G00272	2000-10-25	south_asia	nepal	nepal	genbank	Gagneux
G00273	G00273	2005-08-10	south_asia	nepal	nepal	genbank	Gagneux
G00274	G00274	2014-02-21	south_asia	nepal	nepal	genbank	Gagneux
G00276	G00276	2005-11-01	south_asia	nepal	nepal	genbank	Gagneux
G00277	G00277	2007-11-18	south_asia	nepal	nepal	genbank	Gagneux
G00278	G00278	2016-11-20	europe	switzerland	switzerland	genbank	Gagneux
G00279	G00279	2000-03-25	south_asia	nepal	nepal	genbank	Gagneux
G00280	G00280	2000-06-15	south_asia	india	india	genbank	Gagneux
G00281	G00281	2009-11-14	south_asia	india	india	genbank	Gagneux
G00282	G00282	2001-10-24	south_asia	nepal	nepal	genbank	Gagneux
G00283	G00283	2004-12-11	south_asia	nepal	nepal	genbank	Gagneux
G00284	G00284	2016-08-14	south_asia	nepal	nepal	genbank	Gagneux
G00285	G00285	2006-09-28	south_asia	nepal	nepal	genbank	Gagneux
G00841	G00841	2009-05-23	southeast_asia	vietnam	vietnam	genbank	Gagneux
G00842	G00842	2007-06-07	southeast_asia	vietnam	vietnam	genbank	Gagneux
G00843	G00843	2008-03-06	southeast_asia	vietnam	vietnam	genbank	Gagneux
G00844	G00844	2010-09-27	southeast_asia	vietnam	vietnam	genbank	Gagneux
G00845	G00845	2005-06-30	southeast_asia	vietnam	vietnam	genbank	Gagneux
G00846	G00846	2004-02-24	southeast_asia	vietnam	vietnam	genbank	Gagneux
G00847	G00847	2016-11-30	southeast_asia	vietnam	vietnam	genbank	Gagneux
G00848	G00848	2016-07-17	southeast_asia	vietnam	vietnam	genbank	Gagneux
G00849	G00849	2001-02-09	southeast_asia	vietnam	vietnam	genbank	Gagneux
G00850	G00850	2008-02-11	southeast_asia	vietnam	vietnam	genbank	Gagneux
G00851	G00851	2016-09-19	southeast_asia	vietnam	vietnam	genbank	Gagneux
G00852	G00852	2002-09-21	southeast_asia	vietnam	vietnam	genbank	Gagneux
G00853	G00853	2012-09-10	southeast_asia	vietnam	vietnam	genbank	Gagneux
G00854	G00854	2013-05-12	southeast_asia	vietnam	vietnam	genbank	Gagneux
G00855	G00855	2005-09-20	southeast_asia	vietnam	vietnam	genbank	Gagneux
G00858	G00858	2004-05-28	europe	germany	germany	genbank	Gagneux
G00859	G00859	2016-09-04	europe	germany	germany	genbank	Gagneux
G00860	G00860	2000-11-17	europe	germany	germany	genbank	Gagneux
G00861	G00861	2013-09-02	europe	germany	germany	genbank	Gagneux
G00862	G00862	2003-09-02	europe	germany	germany	genbank	Gagneux
G00863	G00863	2003-05-09	europe	germany	germany	genbank	Gagneux
G00864	G00864	2006-07-28	europe	germany	germany	genbank	Gagneux
G00865	G00865	2007-01-04	europe	germany	germany	genbank	Gagneux
G00866	G00866	2007-11-16	europe	germany	germany	genbank	Gagneux
G00867	G00867	2007-10-02	europe	germany	germany	genbank	Gagneux
G00868	G00868	2000-05-28	europe	germany	germany	genbank	Gagneux
G00869	G00869	2011-06-05	europe	germany	germany	genbank	Gagneux
G00870	G00870	2003-09-28	europe	germany	germany	genbank	Gagneux
G00871	G00871	2016-10-15	europe	germany	germany	genbank	Gagneux
G00872	G00872	2010-10-07	europe	germany	germany	genbank	Gagneux
G00873	G00873	2006-05-30	europe	germany	germany	genbank	Gagneux
G00874	G00874	2010-01-08	europe	germany	germany	genbank	Gagneux
G00875	G00875	2010-06-16	europe	germany	germany	genbank	Gagneux
G00876	G00876	2005-02-01	europe	germany	germany	genbank	Gagneux
G00877	G00877	2005-05-13	europe	germany	germany	genbank	Gagneux
G00878	G00878	2005-08-24	europe	germany	germany	genbank	Gagneux
G00879	G00879	2008-02-06	europe	germany	germany	genbank	Gagneux
G00880	G00880	2000-03-10	europe	germany	germany	genbank	Gagneux
G00881	G00881	2002-10-31	europe	germany	germany	genbank	Gagneux
G00882	G00882	2000-02-28	europe	germany	germany	genbank	Gagneux
G00883	G00883	2000-11-30	europe	germany	germany	genbank	Gagneux
G00884	G00884	2000-10-21	europe	germany	germany	genbank	Gagneux
G00885	G00885	2003-03-09	europe	germany	germany	genbank	Gagneux
G00886	G00886	2006-01-17	europe	germany	germany	genbank	Gagneux
G00887	G00887	2011-02-16	europe	germany	germany	genbank	Gagneux
G00888	G00888	2016-03-18	south_asia	nepal	nepal	genbank	Gagneux
G00889	G00889	2008-10-12	europe	germany	germany	genbank	Gagneux
G00890	G00890	2004-04-13	europe	germany	germany	genbank	Gagneux
G00891	G00891	2003-01-20	africa	ghana	ghana	genbank	Gagneux
G00892	G00892	2004-02-14	africa	ghana	ghana	genbank	Gagneux
G00893	G00893	2012-10-18	africa	ghana	ghana	genbank	Gagneux
G00894	G00894	2013-01-19	africa	ghana	ghana	genbank	Gagneux
G00895	G00895	2006-05-01	africa	ghana	ghana	genbank	Gagneux
G00896	G00896	2001-05-02	africa	ghana	ghana	genbank	Gagneux
G00897	G00897	2008-04-15	africa	ghana	ghana	genbank	Gagneux
G00898	G00898	2003-12-12	africa	ghana	ghana	genbank	Gagneux
G00899	G00899	2004-06-03	africa	ghana	ghana	genbank	Gagneux
G00900	G00900	2002-10-26	africa	ghana	ghana	genbank	Gagneux
G00901	G00901	2009-10-30	southeast_asia	vietnam	vietnam	genbank	Gagneux
G00902	G00902	2013-06-04	southeast_asia	vietnam	vietnam	genbank	Gagneux
G00903	G00903	2004-12-29	southeast_asia	vietnam	vietnam	genbank	Gagneux
G00904	G00904	2003-05-31	north_america	usa	usa	genbank	Gagneux
G00905	G00905	2012-08-13	north_america	usa	usa	genbank	Gagneux
G00906	G00906	2013-07-13	north_america	usa	usa	genbank	Gagneux
G00907	G00907	2011-04-16	north_america	usa	usa	genbank	Gagneux
G00908	G00908	2012-05-23	north_america	usa	usa	genbank	Gagneux
G00909	G00909	2010-05-14	north_america	usa	usa	genbank	Gagneux
G00910	G00910	2012-07-04	north_america	usa	usa	genbank	Gagneux
G00912	G00912	2012-01-14	north_america	usa	usa	genbank	Gagneux
G00913	G00913	2000-04-23	north_america	usa	usa	genbank	Gagneux
G00914	G00914	2008-08-22	north_america	usa	usa	genbank	Gagneux
G00915	G00915	2013-12-27	north_america	usa	usa	genbank	Gagneux
G00916	G00916	2016-07-29	europe	germany	germany	genbank	Gagneux
G00917	G00917	2004-02-16	north_america	usa	usa	genbank	Gagneux
G00918	G00918	2010-06-29	north_america	usa	usa	genbank	Gagneux
G00919	G00919	2012-08-26	north_america	usa	usa	genbank	Gagneux
G00920	G00920	2003-03-17	north_america	usa	usa	genbank	Gagneux
G00921	G00921	2011-11-24	africa	gambia	gambia	genbank	Gagneux
G00922	G00922	2003-07-15	africa	gambia	gambia	genbank	Gagneux
G00923	G00923	2015-06-23	north_america	usa	usa	genbank	Gagneux
G00924	G00924	2005-12-31	europe	netherlands	netherlands	genbank	Gagneux
G00925	G00925	2009-01-01	north_america	usa	usa	genbank	Gagneux
G00926	G00926	2003-04-10	north_america	usa	usa	genbank	Gagneux
G00927	G00927	2001-03-18	north_america	usa	usa	genbank	Gagneux
G00928	G00928	2003-12-06	north_america	usa	usa	genbank	Gagneux
G00929	G00929	2002-10-21	africa	gambia	gambia	genbank	Gagneux
G00930	G00930	2016-08-08	north_america	usa	usa	genbank	Gagneux
G00931	G00931	2008-06-11	north_america	usa	usa	genbank	Gagneux
G00932	G00932	2015-09-28	north_america	usa	usa	genbank	Gagneux
G00933	G00933	2014-12-17	north_america	usa	usa	genbank	Gagneux
G00934	G00934	2010-07-08	north_america	usa	usa	genbank	Gagneux
G00935	G00935	2013-09-13	north_america	usa	usa	genbank	Gagneux
G00936	G00936	2001-08-13	north_america	usa	usa	genbank	Gagneux
G00937	G00937	2004-04-10	north_america	usa	usa	genbank	Gagneux
G00938	G00938	2010-02-27	north_america	usa	usa	genbank	Gagneux
G00940	G00940	2006-09-26	north_america	usa	usa	genbank	Gagneux
G00941	G00941	2000-05-17	north_america	usa	usa	genbank	Gagneux
G00942	G00942	2005-11-27	north_america	usa	usa	genbank	Gagneux
G00943	G00943	2014-01-24	north_america	usa	usa	genbank	Gagneux
G00944	G00944	2009-03-05	north_america	usa	usa	genbank	Gagneux
G00945	G00945	2011-03-12	north_america	usa	usa	genbank	Gagneux
G00946	G00946	2003-03-14	north_america	usa	usa	genbank	Gagneux
G00947	G00947	2013-10-17	north_america	usa	usa	genbank	Gagneux
G00948	G00948	2009-11-27	north_america	usa	usa	genbank	Gagneux
G00949	G00949	2001-03-09	north_america	usa	usa	genbank	Gagneux
G00950	G00950	2011-09-08	north_america	usa	usa	genbank	Gagneux
G00951	G00951	2010-09-04	europe	united_kingdom	united_kingdom	genbank	Gagneux
